行 ID, 订单 ID, 订单日期, 邮寄方式, 客户 ID, 客户名称, 细分, 城市, 省/自治区, 国家, 地区, 产品 ID, 类别, 子类别, 产品名称, 销售额, 数量, 折扣, 利润
1909.0, CN-2019-3668469, 43598.0, 二级, 宋栋-12310, 宋栋, 公司, 常州, 江苏, 中国, 华东, 办公用-收纳-10002440, 办公用品, 收纳具, Tenex 文件车, 蓝色, 6919.34, 19.0, 0.0, 549.78
1910.0, US-2017-4092734, 42897.0, 标准级, 白栋-12295, 白栋, 消费者, 武汉, 湖北, 中国, 中南, 办公用-装订-10001547, 办公用品, 装订机, Ibico 孔加固材料, 回收, 75.16, 10.0, 0.37, -4.200000000000006
1911.0, US-2017-4092734, 42897.0, 标准级, 白栋-12295, 白栋, 消费者, 武汉, 湖北, 中国, 中南, 家具-椅子-10003144, 家具, 椅子, Harbour Creations 扶手椅, 黑色, 1353.3039999999999, 9.0, 0.37, -0.05599999999992633
1915.0, CN-2019-2136895, 43664.0, 标准级, 涂德-12235, 涂德伟, 消费者, 汕头, 广东, 中国, 中南, 技术-复印-10000302, 技术, 复印机, Hewlett 个人复印机, 每套两件, 3400.3, 13.0, 0.0, 1480.4999999999998
1916.0, CN-2018-1738807, 43417.0, 标准级, 潘涛-21205, 潘涛, 公司, 皇岗, 广东, 中国, 中南, 办公用-器具-10002520, 办公用品, 器具, Hoover 搅拌机, 银色, 2318.8, 13.0, 0.0, 730.8
1917.0, CN-2018-1738807, 43417.0, 标准级, 潘涛-21205, 潘涛, 公司, 皇岗, 广东, 中国, 中南, 技术-复印-10000725, 技术, 复印机, 夏普 复印机, 每套两件, 10088.800000000001, 17.0, 0.0, 99.54
1918.0, CN-2019-4195213, 43597.0, 当日, 涂珑-17875, 涂珑, 小型企业, 来宾, 广西, 中国, 中南, 技术-配件-10000680, 技术, 配件, 贝尔金 记忆卡, 耐用, 570.76, 9.0, 0.0, 139.44
1919.0, CN-2019-4195213, 43597.0, 当日, 涂珑-17875, 涂珑, 小型企业, 来宾, 广西, 中国, 中南, 技术-复印-10000216, 技术, 复印机, Brother 传真复印机, 彩色, 1834.68, 10.0, 0.0, 684.04
1920.0, CN-2019-2396269, 43687.0, 标准级, 涂伟-21640, 涂伟, 消费者, 九江, 江西, 中国, 华东, 办公用-美术-10002634, 办公用品, 美术, BIC 钢笔, 整包, 373.49999999999994, 13.0, 0.0, 30.099999999999998
1921.0, CN-2019-2396269, 43687.0, 标准级, 涂伟-21640, 涂伟, 消费者, 九江, 江西, 中国, 华东, 技术-配件-10004728, 技术, 配件, Enermax 记忆卡, 可编程, 1656.4599999999998, 11.0, 0.0, 307.86
1922.0, CN-2019-2396269, 43687.0, 标准级, 涂伟-21640, 涂伟, 消费者, 九江, 江西, 中国, 华东, 技术-配件-10002006, 技术, 配件, Memorex 鼠标, 回收, 276.48, 10.0, 0.0, 43.4
1923.0, CN-2019-2396269, 43687.0, 标准级, 涂伟-21640, 涂伟, 消费者, 九江, 江西, 中国, 华东, 办公用-标签-10003929, 办公用品, 标签, Harbour Creations 合法证物标签, 白色, 136.2, 10.0, 0.0, 1.9600000000000002
1924.0, CN-2016-1370213, 42628.0, 一级, 严盛-20410, 严盛, 消费者, 重庆, 重庆, 中国, 西南, 家具-桌子-10004333, 家具, 桌子, Barricks 电脑桌, 长方形, 2696.296, 10.0, 0.37, 399.33600000000024
1925.0, US-2019-3325239, 43606.0, 二级, 葛欢-14215, 葛欢, 公司, 深圳, 广东, 中国, 中南, 家具-用具-10000952, 家具, 用具, Eldon 门挡, 黑色, 502.1600000000001, 10.0, 0.0, 135.51999999999998
1926.0, CN-2016-5739201, 42515.0, 标准级, 方蔓-17950, 方蔓楚, 消费者, 上海, 上海, 中国, 华东, 技术-复印-10001796, 技术, 复印机, 佳能 传真机, 数字化, 3002.28, 10.0, 0.0, 831.04
1927.0, CN-2016-5739201, 42515.0, 标准级, 方蔓-17950, 方蔓楚, 消费者, 上海, 上海, 中国, 华东, 办公用-用品-10004001, 办公用品, 用品, Fiskars 剪刀, 工业, 265.28, 10.0, 0.0, 52.919999999999995
1928.0, US-2018-4870971, 43376.0, 标准级, 邹凤-13000, 邹凤, 消费者, 深圳, 广东, 中国, 中南, 办公用-信封-10003337, 办公用品, 信封, GlobeWeis 商业信封, 每套 50 个, 519.52, 14.0, 0.0, 174.72
1929.0, US-2018-4940133, 43376.0, 标准级, 常松-20575, 常松, 消费者, 沈阳, 辽宁, 中国, 东北, 家具-用具-10004678, 家具, 用具, Eldon 闹钟, 优质, 497.176, 11.0, 0.37, -285.68399999999997
1930.0, US-2018-4940133, 43376.0, 标准级, 常松-20575, 常松, 消费者, 沈阳, 辽宁, 中国, 东北, 技术-电话-10000497, 技术, 电话, 苹果 耳机, 全尺寸, 660.2199999999999, 11.0, 0.37, -407.40000000000003
1931.0, CN-2016-5781167, 42640.0, 二级, 程德-12040, 程德, 小型企业, 宜春, 江西, 中国, 华东, 家具-椅子-10003748, 家具, 椅子, Harbour Creations 折叠椅, 红色, 947.6400000000001, 10.0, 0.0, 383.59999999999997
1932.0, CN-2018-4596452, 43385.0, 当日, 徐婵-11005, 徐婵, 小型企业, 许昌, 河南, 中国, 中南, 技术-电话-10000581, 技术, 电话, 苹果 充电器, 蓝色, 8940.94, 11.0, 0.0, 1870.2600000000002
1933.0, CN-2017-3065733, 43062.0, 二级, 邓惠-14470, 邓惠, 消费者, 长沙, 湖南, 中国, 中南, 办公用-收纳-10000938, 办公用品, 收纳具, Rogers 文件夹, 工业, 615.8399999999999, 12.0, 0.0, 63.839999999999996
1934.0, CN-2016-2048658, 42593.0, 标准级, 姚彩-10765, 姚彩, 小型企业, 沙市, 湖北, 中国, 中南, 家具-书架-10002387, 家具, 书架, 宜家 柜, 黑色, 839.224, 10.0, 0.37, 80.30399999999986
1935.0, US-2019-2647402, 43647.0, 二级, 林谙-18790, 林谙, 小型企业, 湖州, 浙江, 中国, 华东, 办公用-装订-10001547, 办公用品, 装订机, Ibico 孔加固材料, 回收, 95.74000000000001, 11.0, 0.37, -6.300000000000011
1936.0, CN-2017-4150128, 43076.0, 标准级, 曹达-11800, 曹达侠, 小型企业, 营口, 辽宁, 中国, 东北, 家具-书架-10002588, 家具, 书架, Dania 书库, 传统, 5107.6, 13.0, 0.37, -845.5999999999999
1937.0, CN-2017-4150128, 43076.0, 标准级, 曹达-11800, 曹达侠, 小型企业, 营口, 辽宁, 中国, 东北, 办公用-系固-10000767, 办公用品, 系固件, Advantus 订书钉, 每包 12 个, 350.93199999999996, 19.0, 0.37, -148.148
1938.0, CN-2019-3258425, 43748.0, 二级, 李彩-10675, 李彩, 消费者, 邢台, 河北, 中国, 华北, 家具-桌子-10003906, 家具, 桌子, Hon 会议桌, 黑色, 6484.36, 10.0, 0.25, 0.0
1939.0, CN-2019-5398212, 43733.0, 标准级, 田丹-11995, 田丹, 消费者, 肇源, 黑龙江, 中国, 东北, 技术-设备-10000073, 技术, 设备, 爱普生 计算器, 白色, 1498.12, 15.0, 0.0, 526.26
1940.0, CN-2019-5398212, 43733.0, 标准级, 田丹-11995, 田丹, 消费者, 肇源, 黑龙江, 中国, 东北, 办公用-标签-10004462, 办公用品, 标签, Hon 合法证物标签, 可调, 197.51999999999998, 12.0, 0.0, 48.72
1941.0, US-2018-1964482, 43412.0, 一级, 郝立-16570, 郝立勤, 消费者, 南京, 江苏, 中国, 华东, 家具-椅子-10001799, 家具, 椅子, Harbour Creations 椅垫, 黑色, 618.388, 11.0, 0.37, -195.132
1942.0, US-2018-1964482, 43412.0, 一级, 郝立-16570, 郝立勤, 消费者, 南京, 江苏, 中国, 华东, 家具-椅子-10003805, 家具, 椅子, Hon 扶手椅, 每套两件, 2606.5839999999994, 10.0, 0.37, -86.01599999999985
1943.0, US-2018-1964482, 43412.0, 一级, 郝立-16570, 郝立勤, 消费者, 南京, 江苏, 中国, 华东, 办公用-纸张-10000416, 办公用品, 纸张, 施乐 笔记本, 每包 12 个, 745.9, 13.0, 0.0, 113.4
1944.0, US-2018-1964482, 43412.0, 一级, 郝立-16570, 郝立勤, 消费者, 南京, 江苏, 中国, 华东, 办公用-装订-10001505, 办公用品, 装订机, Cardinal 孔加固材料, 回收, 97.84, 12.0, 0.37, 8.399999999999999
1945.0, US-2018-1964482, 43412.0, 一级, 郝立-16570, 郝立勤, 消费者, 南京, 江苏, 中国, 华东, 办公用-纸张-10000506, 办公用品, 纸张, Enermax 羊皮纸, 优质, 393.09999999999997, 13.0, 0.0, 128.8
1946.0, US-2018-1964482, 43412.0, 一级, 郝立-16570, 郝立勤, 消费者, 南京, 江苏, 中国, 华东, 办公用-系固-10002492, 办公用品, 系固件, Advantus 夹子, 金属, 197.044, 11.0, 0.37, -21.75600000000003
1947.0, US-2018-1964482, 43412.0, 一级, 郝立-16570, 郝立勤, 消费者, 南京, 江苏, 中国, 华东, 办公用-器具-10003678, 办公用品, 器具, Cuisinart 微波炉, 银色, 1597.576, 10.0, 0.37, -104.38400000000001
1948.0, CN-2016-2831197, 42671.0, 标准级, 吕凤-12910, 吕凤, 小型企业, 哈尔滨, 黑龙江, 中国, 东北, 办公用-收纳-10000335, 办公用品, 收纳具, Tenex 盘, 金属, 779.92, 11.0, 0.0, 290.64
1949.0, CN-2019-3409532, 43550.0, 标准级, 邵娜-18565, 邵娜, 小型企业, 滕州, 山东, 中国, 华东, 办公用-信封-10004013, 办公用品, 信封, GlobeWeis 外皮和封条, 每套 50 个, 133.82, 9.0, 0.0, 5.88
1950.0, CN-2019-3409532, 43550.0, 标准级, 邵娜-18565, 邵娜, 小型企业, 滕州, 山东, 中国, 华东, 家具-书架-10000835, 家具, 书架, Dania 搁架, 金属, 6336.24, 16.0, 0.0, 756.0
1951.0, CN-2019-3409532, 43550.0, 标准级, 邵娜-18565, 邵娜, 小型企业, 滕州, 山东, 中国, 华东, 办公用-标签-10001201, 办公用品, 标签, Avery 合法证物标签, 红色, 450.64, 16.0, 0.0, 44.800000000000004
1952.0, CN-2019-3409532, 43550.0, 标准级, 邵娜-18565, 邵娜, 小型企业, 滕州, 山东, 中国, 华东, 家具-椅子-10001534, 家具, 椅子, Hon 扶手椅, 红色, 10700.599999999999, 13.0, 0.0, 4692.8
1953.0, CN-2019-3409532, 43550.0, 标准级, 邵娜-18565, 邵娜, 小型企业, 滕州, 山东, 中国, 华东, 办公用-系固-10004244, 办公用品, 系固件, Advantus 橡皮筋, 混合尺寸, 361.59999999999997, 13.0, 0.0, 2.8000000000000003
1954.0, CN-2017-5747151, 42816.0, 标准级, 王嘉-14530, 王嘉丽, 公司, 叶柏寿, 辽宁, 中国, 东北, 办公用-纸张-10003176, 办公用品, 纸张, SanDisk 计划信息表, 优质, 478.64, 12.0, 0.0, 101.92
1955.0, CN-2019-4075862, 43629.0, 标准级, 巩光-13435, 巩光, 消费者, 合肥, 安徽, 中国, 华东, 办公用-器具-10000913, 办公用品, 器具, Hoover 咖啡研磨机, 银色, 683.0400000000001, 10.0, 0.0, 71.12
1956.0, CN-2019-4075862, 43629.0, 标准级, 巩光-13435, 巩光, 消费者, 合肥, 安徽, 中国, 华东, 技术-配件-10001341, 技术, 配件, Memorex 记忆卡, 回收, 3303.2799999999993, 15.0, 0.0, 1274.98
1957.0, US-2016-5586841, 42385.0, 标准级, 薛梦-18190, 薛梦, 消费者, 徐州, 江苏, 中国, 华东, 办公用-美术-10004812, 办公用品, 美术, Binney & Smith 铅笔刀, 蓝色, 108.67599999999999, 11.0, 0.8, -145.82400000000007
1958.0, US-2019-3420308, 43558.0, 标准级, 葛欢-14215, 葛欢, 公司, 绍兴, 浙江, 中国, 华东, 办公用-用品-10000039, 办公用品, 用品, Acme 尺子, 工业, 495.91600000000005, 17.0, 0.37, -92.48400000000004
1959.0, CN-2016-3291123, 42602.0, 二级, 郭升-20140, 郭升, 公司, 北京, 北京, 中国, 华北, 家具-用具-10001798, 家具, 用具, Deflect-O 灯泡, 优质, 280.53999999999996, 11.0, 0.0, 78.53999999999999
1960.0, CN-2016-3291123, 42602.0, 二级, 郭升-20140, 郭升, 公司, 北京, 北京, 中国, 华北, 办公用-装订-10002996, 办公用品, 装订机, Cardinal 标签, 透明, 159.44, 12.0, 0.0, 6.16
1961.0, CN-2016-3291123, 42602.0, 二级, 郭升-20140, 郭升, 公司, 北京, 北京, 中国, 华北, 家具-椅子-10002994, 家具, 椅子, Office Star 折叠椅, 黑色, 1700.56, 12.0, 0.0, 116.48
1962.0, CN-2019-5058012, 43754.0, 当日, 田妮-18595, 田妮, 小型企业, 定州, 河北, 中国, 华北, 办公用-收纳-10002355, 办公用品, 收纳具, Rogers 文件车, 蓝色, 5981.200000000001, 17.0, 0.0, 59.22
1963.0, CN-2019-5058012, 43754.0, 当日, 田妮-18595, 田妮, 小型企业, 定州, 河北, 中国, 华北, 办公用-用品-10000039, 办公用品, 用品, Acme 尺子, 工业, 205.08, 10.0, 0.0, 47.879999999999995
1964.0, US-2016-1190387, 42423.0, 二级, 余雯-21835, 余雯, 消费者, 泰州, 江苏, 中国, 华东, 办公用-装订-10002129, 办公用品, 装订机, Ibico 订书机, 耐用, 478.52799999999996, 11.0, 0.37, -140.95200000000003
1965.0, CN-2018-5035540, 43265.0, 标准级, 邵彩-10720, 邵彩, 小型企业, 开封, 河南, 中国, 中南, 办公用-器具-10001154, 办公用品, 器具, Hoover 冰箱, 银色, 17249.659999999996, 15.0, 0.0, 1376.9
1966.0, CN-2018-1966017, 43363.0, 标准级, 邵鹏-19075, 邵鹏, 消费者, 衢州, 浙江, 中国, 华东, 办公用-收纳-10000335, 办公用品, 收纳具, Tenex 盘, 金属, 779.92, 11.0, 0.0, 290.64
1974.0, CN-2019-2503468, 43761.0, 二级, 武明-18385, 武明媚, 消费者, 北京, 北京, 中国, 华北, 办公用-器具-10004391, 办公用品, 器具, Hamilton Beach 烤面包机, 白色, 1592.1999999999998, 14.0, 0.0, 560.28
1975.0, CN-2019-2503468, 43761.0, 二级, 武明-18385, 武明媚, 消费者, 北京, 北京, 中国, 华北, 办公用-器具-10000912, 办公用品, 器具, Hamilton Beach 冰箱, 黑色, 30340.639999999996, 21.0, 0.0, 908.18
1976.0, CN-2019-2503468, 43761.0, 二级, 武明-18385, 武明媚, 消费者, 北京, 北京, 中国, 华北, 办公用-标签-10001294, 办公用品, 标签, Harbour Creations 有色标签, 耐用, 158.04, 10.0, 0.0, 35.84
1977.0, US-2018-2286344, 43443.0, 标准级, 冯娜-18460, 冯娜, 公司, 随州, 湖北, 中国, 中南, 办公用-器具-10002520, 办公用品, 器具, Hoover 搅拌机, 银色, 308.176, 9.0, 0.37, -36.624000000000024
1978.0, US-2018-2286344, 43443.0, 标准级, 冯娜-18460, 冯娜, 公司, 随州, 湖北, 中国, 中南, 家具-用具-10001318, 家具, 用具, Tenex 相框, 耐用, 718.18, 13.0, 0.37, -319.62
1979.0, US-2018-2286344, 43443.0, 标准级, 冯娜-18460, 冯娜, 公司, 随州, 湖北, 中国, 中南, 办公用-系固-10002224, 办公用品, 系固件, Advantus 图钉, 每包 12 个, 179.82399999999998, 12.0, 0.37, -29.456000000000017
1980.0, CN-2019-4647823, 43757.0, 一级, 陈锦-14830, 陈锦, 公司, 武汉, 湖北, 中国, 中南, 办公用-纸张-10001321, 办公用品, 纸张, Eaton 笔记本, 每包 12 个, 464.08000000000004, 11.0, 0.0, 4.2
1981.0, US-2016-3930358, 42634.0, 当日, 常宣-20800, 常宣, 消费者, 呼和浩特, 内蒙古, 中国, 华北, 家具-椅子-10002286, 家具, 椅子, SAFCO 椅垫, 红色, 1373.968, 16.0, 0.37, -425.15200000000016
1982.0, CN-2016-5578438, 42732.0, 标准级, 徐关-15655, 徐关茵, 公司, 阳江, 广东, 中国, 中南, 办公用-收纳-10003289, 办公用品, 收纳具, Tenex 搁板, 单宽度, 1054.88, 12.0, 0.0, 254.79999999999998
1983.0, CN-2016-5578438, 42732.0, 标准级, 徐关-15655, 徐关茵, 公司, 阳江, 广东, 中国, 中南, 办公用-纸张-10003091, 办公用品, 纸张, 施乐 笔记本, 回收, 1015.12, 16.0, 0.0, 371.84
1984.0, CN-2016-5578438, 42732.0, 标准级, 徐关-15655, 徐关茵, 公司, 阳江, 广东, 中国, 中南, 家具-书架-10000196, 家具, 书架, Sauder 柜, 白色, 5561.200000000001, 15.0, 0.0, 2320.64
1985.0, CN-2016-5578438, 42732.0, 标准级, 徐关-15655, 徐关茵, 公司, 阳江, 广东, 中国, 中南, 办公用-用品-10002884, 办公用品, 用品, Stiletto 修剪器, 蓝色, 1430.5000000000002, 15.0, 0.0, 181.3
1986.0, CN-2019-4497736, 43699.0, 一级, 孔辉-12610, 孔辉, 公司, 襄樊, 湖北, 中国, 中南, 办公用-标签-10000480, 办公用品, 标签, Smead 有色标签, 可调, 85.1, 9.0, 0.0, 21.42
1987.0, CN-2019-2875530, 43545.0, 标准级, 邹妮-18625, 邹妮, 公司, 塘坪, 广东, 中国, 中南, 办公用-装订-10003061, 办公用品, 装订机, Wilson Jones 订书机, 回收, 1875.2800000000002, 16.0, 0.0, 109.75999999999999
1988.0, CN-2019-2875530, 43545.0, 标准级, 邹妮-18625, 邹妮, 公司, 塘坪, 广东, 中国, 中南, 家具-用具-10001014, 家具, 用具, Deflect-O 相框, 黑色, 276.20000000000005, 9.0, 0.0, 9.66
1989.0, CN-2019-2875530, 43545.0, 标准级, 邹妮-18625, 邹妮, 公司, 塘坪, 广东, 中国, 中南, 技术-设备-10001994, 技术, 设备, 冲电器 计算器, 耐用, 1501.48, 14.0, 0.0, 43.68
1990.0, CN-2019-2875530, 43545.0, 标准级, 邹妮-18625, 邹妮, 公司, 塘坪, 广东, 中国, 中南, 办公用-美术-10001683, 办公用品, 美术, Boston 画布, 蓝色, 234.256, 9.0, 0.2, -17.584000000000003
1991.0, CN-2017-2351493, 42979.0, 二级, 袁德-12115, 袁德, 消费者, 江门, 广东, 中国, 中南, 家具-书架-10003617, 家具, 书架, Bush 书架, 黑色, 1199.36, 10.0, 0.0, 291.2
1992.0, CN-2018-5385461, 43251.0, 标准级, 陶博-10570, 陶博, 消费者, 哈尔滨, 黑龙江, 中国, 东北, 办公用-信封-10000469, 办公用品, 信封, Kraft 邮寄品, 红色, 1571.76, 16.0, 0.0, 553.2800000000001
1993.0, US-2017-5943918, 42968.0, 标准级, 冯巧-19450, 冯巧, 消费者, 江油, 四川, 中国, 西南, 家具-椅子-10002994, 家具, 椅子, Office Star 折叠椅, 黑色, 1033.936, 12.0, 0.37, -550.144
1994.0, US-2017-5943918, 42968.0, 标准级, 冯巧-19450, 冯巧, 消费者, 江油, 四川, 中国, 西南, 办公用-用品-10001618, 办公用品, 用品, Acme 大剪刀, 蓝色, 732.8800000000001, 13.0, 0.37, -337.82000000000005
1995.0, US-2017-5510381, 42986.0, 一级, 葛欢-14215, 葛欢, 公司, 南通, 江苏, 中国, 华东, 家具-桌子-10001906, 家具, 桌子, Bevis 咖啡桌, 黑色, 3003.6800000000003, 13.0, 0.6, -4083.5200000000004
1996.0, CN-2019-2662386, 43712.0, 标准级, 巩达-11770, 巩达侠, 消费者, 合肥, 安徽, 中国, 华东, 技术-复印-10004787, 技术, 复印机, 佳能 墨水, 红色, 4103.799999999999, 14.0, 0.0, 1586.7600000000002
1997.0, CN-2019-2662386, 43712.0, 标准级, 巩达-11770, 巩达侠, 消费者, 合肥, 安徽, 中国, 华东, 家具-书架-10000720, 家具, 书架, Bush 柜, 白色, 3438.1000000000004, 13.0, 0.0, 987.0
1998.0, CN-2019-2662386, 43712.0, 标准级, 巩达-11770, 巩达侠, 消费者, 合肥, 安徽, 中国, 华东, 办公用-装订-10000548, 办公用品, 装订机, Avery 孔加固材料, 实惠, 136.9, 13.0, 0.0, 46.900000000000006
1999.0, CN-2019-2662386, 43712.0, 标准级, 巩达-11770, 巩达侠, 消费者, 合肥, 安徽, 中国, 华东, 技术-复印-10004788, 技术, 复印机, Brother 个人复印机, 数字化, 2029.4200000000003, 11.0, 0.0, 638.4
2000.0, CN-2019-2662386, 43712.0, 标准级, 巩达-11770, 巩达侠, 消费者, 合肥, 安徽, 中国, 华东, 技术-复印-10003306, 技术, 复印机, Hewlett 传真复印机, 每套两件, 2734.1800000000003, 11.0, 0.0, 539.7
2001.0, CN-2018-3676630, 43321.0, 一级, 李蔓-17995, 李蔓楚, 小型企业, 成都, 四川, 中国, 西南, 办公用-美术-10001455, 办公用品, 美术, Sanford 速写本, 金属, 77.624, 9.0, 0.8, -152.79600000000002
2002.0, CN-2016-5313470, 42493.0, 标准级, 吕兰-15700, 吕兰, 消费者, 天津, 天津, 中国, 华北, 办公用-纸张-10000928, 办公用品, 纸张, Eaton 令, 每包 12 个, 320.44, 10.0, 0.0, 91.56
2003.0, CN-2016-5601190, 42583.0, 二级, 常光-13345, 常光, 公司, 湘乡, 湖南, 中国, 中南, 办公用-收纳-10000375, 办公用品, 收纳具, Smead 搁板, 单宽度, 719.44, 11.0, 0.0, 205.38
2004.0, CN-2016-5601190, 42583.0, 二级, 常光-13345, 常光, 公司, 湘乡, 湖南, 中国, 中南, 办公用-收纳-10000254, 办公用品, 收纳具, Tenex 文件夹, 单宽度, 359.5, 11.0, 0.0, 9.66
2005.0, CN-2016-5601190, 42583.0, 二级, 常光-13345, 常光, 公司, 湘乡, 湖南, 中国, 中南, 技术-复印-10004582, 技术, 复印机, 夏普 复印机, 红色, 1142.7999999999997, 9.0, 0.0, 0.0
2006.0, CN-2018-1752478, 43332.0, 标准级, 殷崆-15565, 殷崆, 消费者, 平遥, 山西, 中国, 华北, 办公用-装订-10003400, 办公用品, 装订机, Acco 打孔机, 耐用, 476.68, 11.0, 0.0, 70.56
2007.0, CN-2018-1752478, 43332.0, 标准级, 殷崆-15565, 殷崆, 消费者, 平遥, 山西, 中国, 华北, 家具-椅子-10000374, 家具, 椅子, Harbour Creations 椅垫, 可调, 1424.48, 12.0, 0.0, 639.52
2008.0, CN-2017-3436186, 42971.0, 一级, 程聪-11620, 程聪, 消费者, 朝阳, 辽宁, 中国, 东北, 办公用-收纳-10004477, 办公用品, 收纳具, Tenex 文件夹, 金属, 346.06, 11.0, 0.0, 27.72
2009.0, US-2017-3670764, 42998.0, 标准级, 康丽-15850, 康丽, 消费者, 公主岭, 吉林, 中国, 东北, 办公用-美术-10002415, 办公用品, 美术, Boston 画布, 混合尺寸, 458.2560000000001, 10.0, 0.2, 58.29599999999999
2010.0, CN-2018-1177754, 43401.0, 标准级, 贺锦-14845, 贺锦, 消费者, 哈尔滨, 黑龙江, 中国, 东北, 家具-椅子-10001337, 家具, 椅子, Harbour Creations 凳子, 可调, 1738.3600000000001, 10.0, 0.0, 613.48
2011.0, CN-2018-3188191, 43422.0, 一级, 常康-15325, 常康, 公司, 晋江, 福建, 中国, 华东, 办公用-器具-10004119, 办公用品, 器具, Hoover 搅拌机, 白色, 478.78000000000003, 9.0, 0.0, 164.5
2012.0, CN-2016-4121606, 42685.0, 标准级, 郝婷-21055, 郝婷, 消费者, 佳木斯, 黑龙江, 中国, 东北, 办公用-信封-10000067, 办公用品, 信封, Ames 局间信封, 红色, 715.24, 11.0, 0.0, 217.98000000000002
2013.0, CN-2016-4121606, 42685.0, 标准级, 郝婷-21055, 郝婷, 消费者, 佳木斯, 黑龙江, 中国, 东北, 办公用-系固-10001319, 办公用品, 系固件, OIC 夹子, 混合尺寸, 275.08, 11.0, 0.0, 23.939999999999998
2014.0, CN-2018-5035540, 43107.0, 二级, 徐安-10150, 徐安, 消费者, 南阳, 河南, 中国, 中南, 办公用-信封-10001487, 办公用品, 信封, GlobeWeis 外皮和封条, 银色, 367.06, 11.0, 0.0, 166.32
2015.0, CN-2018-4988987, 43202.0, 当日, 田诚-11335, 田诚, 小型企业, 上虞, 浙江, 中国, 华东, 办公用-收纳-10001262, 办公用品, 收纳具, Eldon 搁板, 金属, 920.48, 12.0, 0.0, 248.07999999999998
2016.0, CN-2018-4988987, 43202.0, 当日, 田诚-11335, 田诚, 小型企业, 上虞, 浙江, 中国, 华东, 家具-用具-10002981, 家具, 用具, Deflect-O 门挡, 黑色, 403.17999999999995, 11.0, 0.37, -196.98000000000002
2017.0, CN-2018-4988987, 43202.0, 当日, 田诚-11335, 田诚, 小型企业, 上虞, 浙江, 中国, 华东, 办公用-信封-10003694, 办公用品, 信封, Cameo 邮寄品, 银色, 1358.96, 15.0, 0.0, 145.04
2018.0, CN-2017-3132720, 42866.0, 标准级, 麦磊-16060, 麦磊, 消费者, 天津, 天津, 中国, 华北, 家具-用具-10003781, 家具, 用具, Eldon 分层置放架, 耐用, 1498.54, 19.0, 0.0, 438.9
2019.0, CN-2017-3132720, 42866.0, 标准级, 麦磊-16060, 麦磊, 消费者, 天津, 天津, 中国, 华北, 办公用-装订-10002129, 办公用品, 装订机, Ibico 订书机, 耐用, 280.96000000000004, 9.0, 0.0, 51.800000000000004
2020.0, CN-2019-5468349, 43716.0, 标准级, 潘荷-13735, 潘荷, 小型企业, 西安, 陕西, 中国, 西北, 技术-复印-10000099, 技术, 复印机, Brother 个人复印机, 红色, 2009.2600000000002, 11.0, 0.0, 394.79999999999995
2021.0, US-2018-4505574, 43340.0, 当日, 夏平-19120, 夏平, 消费者, 邳州, 江苏, 中国, 华东, 家具-椅子-10003809, 家具, 椅子, Office Star 摇椅, 红色, 823.0959999999999, 10.0, 0.37, -447.38399999999996
2022.0, US-2016-5555490, 42496.0, 二级, 钱珊-19855, 钱珊, 公司, 广州, 广东, 中国, 中南, 办公用-收纳-10000741, 办公用品, 收纳具, Fellowes 盒, 单宽度, 217.96, 10.0, 0.0, 55.16
2023.0, US-2016-1966706, 42675.0, 标准级, 洪强-19345, 洪强, 公司, 朝阳, 辽宁, 中国, 东北, 办公用-美术-10000407, 办公用品, 美术, Sanford 速写本, 混合尺寸, 261.0799999999999, 13.0, 0.8, -818.02
2024.0, US-2016-1966706, 42675.0, 标准级, 洪强-19345, 洪强, 公司, 朝阳, 辽宁, 中国, 东北, 办公用-信封-10000356, 办公用品, 信封, GlobeWeis 商业信封, 红色, 326.32, 11.0, 0.0, 102.06
2025.0, CN-2018-4078386, 43254.0, 标准级, 薛娇-14665, 薛娇, 消费者, 深圳, 广东, 中国, 中南, 技术-配件-10000405, 技术, 配件, SanDisk 路由器, 实惠, 3622.899999999999, 11.0, 0.0, 179.33999999999997
2026.0, CN-2018-4078386, 43254.0, 标准级, 薛娇-14665, 薛娇, 消费者, 深圳, 广东, 中国, 中南, 办公用-装订-10004464, 办公用品, 装订机, Wilson Jones 标签, 实惠, 94.19999999999999, 10.0, 0.0, 24.08
2027.0, CN-2016-2823186, 42502.0, 标准级, 楚杰-14710, 楚杰, 消费者, 肃州, 甘肃, 中国, 西北, 办公用-标签-10000619, 办公用品, 标签, Avery 可去除的标签, 耐用, 293.7, 13.0, 0.0, 17.5
2028.0, CN-2016-2823186, 42502.0, 标准级, 楚杰-14710, 楚杰, 消费者, 肃州, 甘肃, 中国, 西北, 办公用-装订-10003504, 办公用品, 装订机, Ibico 装订机, 耐用, 81.544, 9.0, 0.37, -3.975999999999999
2029.0, CN-2016-2823186, 42502.0, 标准级, 楚杰-14710, 楚杰, 消费者, 肃州, 甘肃, 中国, 西北, 家具-用具-10003029, 家具, 用具, Rubvermaid 相框, 一包多件, 759.3399999999999, 13.0, 0.37, -157.35999999999996
2030.0, CN-2016-2823186, 42502.0, 标准级, 楚杰-14710, 楚杰, 消费者, 肃州, 甘肃, 中国, 西北, 办公用-美术-10000997, 办公用品, 美术, Boston 钢笔, 整包, 61.047999999999995, 10.0, 0.8, -42.11200000000001
