行ID,订单ID,订单日期,发货日期,邮寄方式,客户ID,客户名称,细分,城市,省/自治区,国家,地区,产品ID,类别,子类别,产品名称,销售额,数量,折扣,利润,
1485, CN-2017-5260002,43094,43094, 当日, 何晨-11140, 何晨, 消费者, 毕节, 贵州, 中国, 西南, 技术-电话-10004837, 技术, 电话, 思科 耳机, 整包,1686.56,12,0,462.56
1486, CN-2016-2930075,42727,42729, 一级, 贺丹-11950, 贺丹, 消费者, 朗乡, 黑龙江, 中国, 东北, 办公用-装订-10003441, 办公用品, 装订机, Avery 标签, 耐用,180.16,12,0,27.44
1487, CN-2017-3322413,43073,43077, 标准级, 麦虢-13510, 麦虢, 公司, 武汉, 湖北, 中国, 中南, 办公用-信封-10000562, 办公用品, 信封, Kraft 搭扣信封, 银色,140.4,10,0,48.72
1488, CN-2016-5035540,42593,42596, 一级, 曾伟-21595, 曾伟, 消费者, 长沙, 湖南, 中国, 中南, 办公用-装订-10003861, 办公用品, 装订机, Avery 打孔机, 实惠,1334.6,18,0,64.4
1489, CN-2016-5035540,42593,42596, 一级, 曾伟-21595, 曾伟, 消费者, 长沙, 湖南, 中国, 中南, 办公用-美术-10001742, 办公用品, 美术, Sanford 画布, 整包,223.616,9,0.2,-30.884
1490, CN-2017-1924488,42913,42919, 标准级, 巩凤-12880, 巩凤, 公司, 福州, 福建, 中国, 华东, 办公用-标签-10001659, 办公用品, 标签, Harbour Creations 圆形标签, 可调,55.7,9,0,10.08
1491, CN-2019-5679752,43645,43647, 二级, 吕灵-17575, 吕灵, 消费者, 集宁, 内蒙古, 中国, 华北, 办公用-收纳-10004374, 办公用品, 收纳具, Smead 文件车, 工业,3041.2,13,0,571.2
1492, CN-2019-5679752,43645,43647, 二级, 吕灵-17575, 吕灵, 消费者, 集宁, 内蒙古, 中国, 华北, 办公用-装订-10000048, 办公用品, 装订机, Acco 标签, 回收,84.064,10,0.37,-22.736
1493, CN-2019-5679752,43645,43647, 二级, 吕灵-17575, 吕灵, 消费者, 集宁, 内蒙古, 中国, 华北, 技术-复印-10001141, 技术, 复印机, Brother 传真复印机, 每套两件,2178.688,12,0.37,-536.592
1494, US-2016-2530333,42529,42533, 标准级, 王丹-12010, 王丹, 消费者, 嘉峪关, 甘肃, 中国, 西北, 技术-配件-10002404, 技术, 配件, 贝尔金 键盘, 耐用,269.452,9,0.37,-102.088
1495, US-2016-2530333,42529,42533, 标准级, 王丹-12010, 王丹, 消费者, 嘉峪关, 甘肃, 中国, 西北, 办公用-器具-10004119, 办公用品, 器具, Hoover 搅拌机, 白色,1368.34,13,0.37,-67.06
1496, US-2016-2530333,42529,42533, 标准级, 王丹-12010, 王丹, 消费者, 嘉峪关, 甘肃, 中国, 西北, 家具-椅子-10002025, 家具, 椅子, Novimex 折叠椅, 可调,982.864,12,0.37,141.904
1497, US-2016-2530333,42529,42533, 标准级, 王丹-12010, 王丹, 消费者, 嘉峪关, 甘肃, 中国, 西北, 办公用-装订-10004028, 办公用品, 装订机, Wilson Jones 打孔机, 实惠,269.116,11,0.37,-125.664
1498, US-2016-2530333,42529,42533, 标准级, 王丹-12010, 王丹, 消费者, 嘉峪关, 甘肃, 中国, 西北, 办公用-收纳-10000181, 办公用品, 收纳具, Eldon 文件车, 蓝色,1824.46,11,0,536.76
1499, US-2016-2530333,42529,42533, 标准级, 王丹-12010, 王丹, 消费者, 嘉峪关, 甘肃, 中国, 西北, 办公用-用品-10003562, 办公用品, 用品, Fiskars 剪刀, 锯齿状,200.824,11,0.37,-86.436
1500, US-2016-2530333,42529,42533, 标准级, 王丹-12010, 王丹, 消费者, 嘉峪关, 甘肃, 中国, 西北, 技术-电话-10002321, 技术, 电话, 诺基亚 信号增强器, 混合尺寸,1984.9,13,0.37,-1171.1
1501, US-2016-2530333,42529,42533, 标准级, 王丹-12010, 王丹, 消费者, 嘉峪关, 甘肃, 中国, 西北, 家具-书架-10004272, 家具, 书架, Safco 书库, 黑色,3319.576,11,0.37,-1861.944
1502, US-2016-2530333,42529,42533, 标准级, 王丹-12010, 王丹, 消费者, 嘉峪关, 甘肃, 中国, 西北, 家具-桌子-10002962, 家具, 桌子, Barricks 木桌, 黑色,2928.808,11,0.6,-4269.972
1503, CN-2018-2918417,43380,43384, 标准级, 沈聪-11710, 沈聪, 消费者, 寿光, 山东, 中国, 华东, 办公用-信封-10001526, 办公用品, 信封, GlobeWeis 外皮和封条, 回收,316.66,11,0,13.86
1504, CN-2018-2918417,43380,43384, 标准级, 沈聪-11710, 沈聪, 消费者, 寿光, 山东, 中国, 华东, 办公用-信封-10003367, 办公用品, 信封, Cameo 局间信封, 回收,681.22,11,0,317.1
1507, CN-2016-1267778,42535,42540, 标准级, 柯丽-15880, 柯丽, 消费者, 上海, 上海, 中国, 华东, 办公用-信封-10003544, 办公用品, 信封, Cameo 马尼拉纸信封, 每套 50 个,286,10,0,100.8
1508, CN-2016-1267778,42535,42540, 标准级, 柯丽-15880, 柯丽, 消费者, 上海, 上海, 中国, 华东, 办公用-美术-10001455, 办公用品, 美术, Sanford 速写本, 金属,1342.72,14,0,130.2
1509, CN-2019-2373769,43600,43606, 标准级, 葛彩-10660, 葛彩, 消费者, 胶南, 山东, 中国, 华东, 办公用-信封-10000318, 办公用品, 信封, GlobeWeis 邮寄品, 每套 50 个,753.6,12,0,49.84
1510, CN-2019-2373769,43600,43606, 标准级, 葛彩-10660, 葛彩, 消费者, 胶南, 山东, 中国, 华东, 办公用-信封-10002033, 办公用品, 信封, Ames 外皮和封条, 红色,345.22,11,0,133.56
1511, CN-2019-2373769,43600,43606, 标准级, 葛彩-10660, 葛彩, 消费者, 胶南, 山东, 中国, 华东, 办公用-信封-10004013, 办公用品, 信封, GlobeWeis 外皮和封条, 每套 50 个,233.64,10,0,11.76
1512, CN-2016-4080057,42529,42534, 二级, 薛君-15205, 薛君, 消费者, 沈阳, 辽宁, 中国, 东北, 办公用-收纳-10001047, 办公用品, 收纳具, Smead 锁柜, 蓝色,1885.92,10,0,851.76
1513, CN-2017-1574908,43042,43047, 标准级, 邢德-12160, 邢德伟, 消费者, 湛江, 广东, 中国, 中南, 技术-复印-10004980, 技术, 复印机, 佳能 复印机, 彩色,4954.16,12,0,1180.48
1514, CN-2017-3581392,43019,43025, 标准级, 程蔓-17935, 程蔓楚, 消费者, 德惠, 吉林, 中国, 东北, 办公用-系固-10004323, 办公用品, 系固件, OIC 按钉, 混合尺寸,91.68,9,0,14.42
1516, US-2019-1925348,43594,43599, 二级, 廖立-16795, 廖立, 小型企业, 揭阳, 广东, 中国, 中南, 技术-配件-10000065, 技术, 配件, Memorex 闪存驱动器, 耐用,448.54,11,0,32.76
1517, CN-2019-2918417,43649,43653, 标准级, 邱荷-13690, 邱荷, 消费者, 潍坊, 山东, 中国, 华东, 办公用-纸张-10004837, 办公用品, 纸张, SanDisk 笔记本, 优质,312.32,10,0,41.72
1518, CN-2019-3873167,43565,43567, 一级, 贾嫒-10030, 贾嫒, 公司, 哈尔滨, 黑龙江, 中国, 东北, 办公用-系固-10002262, 办公用品, 系固件, Stockwell 图钉, 每包 12 个,154.96,10,0,59.08
1519, US-2019-4961841,43690,43694, 标准级, 胡晨-11170, 胡晨, 小型企业, 杭州, 浙江, 中国, 华东, 家具-书架-10002576, 家具, 书架, Sauder 古典书架, 传统,3696.316,11,0.37,-915.684
1520, CN-2019-3636322,43603,43608, 标准级, 戴立-16885, 戴立, 消费者, 重庆, 重庆, 中国, 西南, 办公用-信封-10004487, 办公用品, 信封, Kraft 邮寄品, 银色,407.8,10,0,82.04
1521, CN-2019-3636322,43603,43608, 标准级, 戴立-16885, 戴立, 消费者, 重庆, 重庆, 中国, 西南, 办公用-装订-10002118, 办公用品, 装订机, Avery 打孔机, 透明,416.62,11,0,137.34
1522, CN-2019-3636322,43603,43608, 标准级, 戴立-16885, 戴立, 消费者, 重庆, 重庆, 中国, 西南, 办公用-装订-10001828, 办公用品, 装订机, Wilson Jones 装订机, 实惠,216.28,11,0,39.9
1523, CN-2019-3636322,43603,43608, 标准级, 戴立-16885, 戴立, 消费者, 重庆, 重庆, 中国, 西南, 办公用-标签-10000859, 办公用品, 标签, Hon 合法证物标签, 白色,287.4,13,0,7
1524, CN-2019-3636322,43603,43608, 标准级, 戴立-16885, 戴立, 消费者, 重庆, 重庆, 中国, 西南, 家具-椅子-10001581, 家具, 椅子, SAFCO 沙滩椅, 红色,726.16,11,0,338.94
1525, CN-2018-4451680,43298,43303, 标准级, 邱升-20035, 邱升, 小型企业, 昆明, 云南, 中国, 西南, 家具-书架-10004000, 家具, 书架, Sauder 墙角架, 金属,4143.28,14,0,40.32
1526, CN-2017-4461870,42905,42907, 二级, 万刚-13195, 万刚, 公司, 扬州, 江苏, 中国, 华东, 办公用-纸张-10004623, 办公用品, 纸张, 施乐 计划信息表, 回收,412.56,12,0,128.24
1527, CN-2018-4526574,43447,43453, 标准级, 林磊-16045, 林磊, 小型企业, 珠海, 广东, 中国, 中南, 技术-配件-10001341, 技术, 配件, Memorex 记忆卡, 回收,1902.16,12,0,728.56
1528, CN-2018-4526574,43447,43453, 标准级, 林磊-16045, 林磊, 小型企业, 珠海, 广东, 中国, 中南, 办公用-收纳-10001262, 办公用品, 收纳具, Eldon 搁板, 金属,477.24,10,0,124.04
1529, CN-2018-4526574,43447,43453, 标准级, 林磊-16045, 林磊, 小型企业, 珠海, 广东, 中国, 中南, 办公用-器具-10002224, 办公用品, 器具, Breville 搅拌机, 白色,3333.52,16,0,296.8
1530, CN-2018-4526574,43447,43453, 标准级, 林磊-16045, 林磊, 小型企业, 珠海, 广东, 中国, 中南, 家具-椅子-10001132, 家具, 椅子, Hon 椅垫, 黑色,1149.1,13,0.1,74.2
1531, CN-2018-4526574,43447,43453, 标准级, 林磊-16045, 林磊, 小型企业, 珠海, 广东, 中国, 中南, 办公用-信封-10002675, 办公用品, 信封, Ames 邮寄品, 银色,1462,16,0,599.2
1532, CN-2018-4526574,43447,43453, 标准级, 林磊-16045, 林磊, 小型企业, 珠海, 广东, 中国, 中南, 办公用-系固-10004801, 办公用品, 系固件, Stockwell 橡皮筋, 整包,419.7,13,0,84.7
1533, CN-2018-4526574,43447,43453, 标准级, 林磊-16045, 林磊, 小型企业, 珠海, 广东, 中国, 中南, 办公用-用品-10003822, 办公用品, 用品, Acme 开信刀, 蓝色,174.98,9,0,23.94
1534, CN-2018-4526574,43447,43453, 标准级, 林磊-16045, 林磊, 小型企业, 珠海, 广东, 中国, 中南, 技术-配件-10000935, 技术, 配件, 罗技 键区, 可编程,480.32,10,0,66.92
1535, CN-2017-5844177,42795,42795, 当日, 熊宣-20875, 熊宣, 消费者, 广元, 四川, 中国, 西南, 办公用-收纳-10004913, 办公用品, 收纳具, Eldon 文件车, 金属,1811.44,11,0,693
1536, CN-2017-5844177,42795,42795, 当日, 熊宣-20875, 熊宣, 消费者, 广元, 四川, 中国, 西南, 家具-椅子-10000128, 家具, 椅子, Novimex 沙滩椅, 可调,169.66,9,0.37,-85.96
1537, CN-2017-3122639,42948,42952, 标准级, 佘升-20170, 佘升, 消费者, 汕头, 广东, 中国, 中南, 技术-复印-10004864, 技术, 复印机, Hewlett 传真机, 红色,3003.12,10,0,1098.44
1538, CN-2017-3122639,42948,42952, 标准级, 佘升-20170, 佘升, 消费者, 汕头, 广东, 中国, 中南, 办公用-系固-10000988, 办公用品, 系固件, Stockwell 夹子, 每包 12 个,460.3,13,0,153.3
1539, CN-2017-4537572,42827,42832, 标准级, 叶莲-17095, 叶莲, 消费者, 天津, 天津, 中国, 华北, 技术-设备-10003030, 技术, 设备, 松下 电话, 红色,1181.86,11,0,401.52
1540, CN-2017-2571041,42995,42998, 一级, 冯莲-16945, 冯莲, 公司, 池州, 安徽, 中国, 华东, 办公用-收纳-10002943, 办公用品, 收纳具, Smead 文件车, 蓝色,3629.2,14,0,1365.84
1541, CN-2017-4433229,42911,42914, 一级, 施立-16690, 施立伟, 公司, 惠城, 广东, 中国, 中南, 办公用-信封-10002707, 办公用品, 信封, Cameo 局间信封, 每套 50 个,255.34,9,0,84
1542, CN-2017-4433229,42911,42914, 一级, 施立-16690, 施立伟, 公司, 惠城, 广东, 中国, 中南, 技术-设备-10002738, 技术, 设备, 爱普生 电话, 耐用,1926.1,13,0,926.8
1543, CN-2017-4433229,42911,42914, 一级, 施立-16690, 施立伟, 公司, 惠城, 广东, 中国, 中南, 办公用-美术-10001370, 办公用品, 美术, Stanley 记号笔, 金属,209.168,10,0.2,-39.592
1544, CN-2017-4448319,42870,42874, 二级, 庄丹-11935, 庄丹, 消费者, 兰西, 黑龙江, 中国, 东北, 家具-椅子-10002919, 家具, 椅子, Harbour Creations 沙滩椅, 可调,632.36,10,0,107.52
1545, CN-2017-5102195,42958,42962, 标准级, 黄娟-15130, 黄娟, 消费者, 浯溪, 湖南, 中国, 中南, 家具-书架-10001133, 家具, 书架, Sauder 书库, 白色,10958.2,14,0,1419.6
1546, CN-2019-5105254,43605,43611, 标准级, 肖崆-15520, 肖崆, 消费者, 即墨, 山东, 中国, 华东, 家具-椅子-10001701, 家具, 椅子, Office Star 折叠椅, 每套两件,2226.4,13,0,328.3
1547, CN-2019-5105254,43605,43611, 标准级, 肖崆-15520, 肖崆, 消费者, 即墨, 山东, 中国, 华东, 技术-复印-10002340, 技术, 复印机, 佳能 个人复印机, 每套两件,700.12,9,0,266.42
1548, CN-2019-5774848,43590,43591, 一级, 贾君-15160, 贾君, 消费者, 成都, 四川, 中国, 西南, 办公用-标签-10001184, 办公用品, 标签, Harbour Creations 文件夹标签, 可调,281.52,16,0,33.6
1549, CN-2019-5774848,43590,43591, 一级, 贾君-15160, 贾君, 消费者, 成都, 四川, 中国, 西南, 办公用-纸张-10002399, 办公用品, 纸张, Green Bar 备忘录便条, 回收,112.68,9,0,0
1550, CN-2019-3550359,43633,43639, 标准级, 韩虎-14005, 韩虎, 小型企业, 三亚, 海南, 中国, 中南, 家具-椅子-10002778, 家具, 椅子, Office Star 沙滩椅, 每套两件,760.894,11,0.1,32.214
1551, CN-2019-3550359,43633,43639, 标准级, 韩虎-14005, 韩虎, 小型企业, 三亚, 海南, 中国, 中南, 技术-电话-10000497, 技术, 电话, 苹果 耳机, 全尺寸,1425.6,12,0,13.44
1552, CN-2019-3550359,43633,43639, 标准级, 韩虎-14005, 韩虎, 小型企业, 三亚, 海南, 中国, 中南, 家具-用具-10001106, 家具, 用具, Advantus 门挡, 优质,645.1,11,0,79.38
1553, CN-2019-3813285,43739,43740, 一级, 贺鹏-19045, 贺鹏, 小型企业, 深圳, 广东, 中国, 中南, 办公用-收纳-10002847, 办公用品, 收纳具, Tenex 文件车, 金属,655.6,9,0,198.8
1554, CN-2017-1850111,43046,43050, 二级, 许安-10165, 许安, 消费者, 临沂, 山东, 中国, 华东, 技术-复印-10002448, 技术, 复印机, 夏普 传真机, 数字化,4168.06,11,0,1322.58
1555, CN-2018-2666353,43208,43210, 二级, 姚秋-11605, 姚秋, 消费者, 昌吉, 新疆, 中国, 西北, 家具-用具-10001878, 家具, 用具, Rubvermaid 框架, 黑色,2085.28,12,0,348.32
1556, CN-2019-1243146,43508,43510, 二级, 余晨-11230, 余晨, 消费者, 临沂, 山东, 中国, 华东, 家具-书架-10001766, 家具, 书架, Bush 书库, 黑色,3446.92,10,0,1433.32
1557, CN-2019-1243146,43508,43510, 二级, 余晨-11230, 余晨, 消费者, 临沂, 山东, 中国, 华东, 技术-电话-10004636, 技术, 电话, 摩托罗拉 音频基座, 全尺寸,4109.4,13,0,1304.1
1558, CN-2016-1755383,42702,42706, 标准级, 付立-16750, 付立, 消费者, 太原, 山西, 中国, 华北, 技术-设备-10001343, 技术, 设备, 松下 喷墨打印机, 白色,4381,11,0,1434.3
1560, CN-2016-4217149,42637,42644, 标准级, 龙廷-21295, 龙廷, 消费者, 邯郸, 河北, 中国, 华北, 技术-设备-10000429, 技术, 设备, 柯尼卡 电话, 白色,428.8,9,0,185.5
1561, CN-2016-4217149,42637,42644, 标准级, 龙廷-21295, 龙廷, 消费者, 邯郸, 河北, 中国, 华北, 办公用-美术-10002271, 办公用品, 美术, Binney & Smith 荧光笔, 金属,200.6,10,0,3.08
1562, CN-2016-4217149,42637,42644, 标准级, 龙廷-21295, 龙廷, 消费者, 邯郸, 河北, 中国, 华北, 技术-电话-10004611, 技术, 电话, 思科 音频基座, 整包,884.08,9,0,186.9
1563, CN-2018-5264054,43436,43440, 标准级, 钟宣-20860, 钟宣, 公司, 北京, 北京, 中国, 华北, 家具-用具-10001878, 家具, 用具, Rubvermaid 框架, 黑色,1059.64,10,0,174.16
1564, CN-2018-5264054,43436,43440, 标准级, 钟宣-20860, 钟宣, 公司, 北京, 北京, 中国, 华北, 办公用-标签-10002441, 办公用品, 标签, Novimex 有色标签, 白色,207.88,11,0,52.08
1565, CN-2018-5264054,43436,43440, 标准级, 钟宣-20860, 钟宣, 公司, 北京, 北京, 中国, 华北, 技术-电话-10000751, 技术, 电话, 三星 信号增强器, 混合尺寸,3938.32,14,0,663.6
1566, CN-2018-5264054,43436,43440, 标准级, 钟宣-20860, 钟宣, 公司, 北京, 北京, 中国, 华北, 办公用-器具-10002516, 办公用品, 器具, KitchenAid 搅拌机, 银色,498.8,9,0,64.96
1567, CN-2017-4595101,42967,42971, 标准级, 刘立-16810, 刘立, 消费者, 泉州, 福建, 中国, 华东, 办公用-收纳-10003897, 办公用品, 收纳具, Rogers 搁板, 金属,319.6,9,0,48.44
1568, CN-2017-4595101,42967,42971, 标准级, 刘立-16810, 刘立, 消费者, 泉州, 福建, 中国, 华东, 办公用-标签-10000574, 办公用品, 标签, Harbour Creations 运输标签, 红色,191.92,11,0,31.5
1569, CN-2017-4595101,42967,42971, 标准级, 刘立-16810, 刘立, 消费者, 泉州, 福建, 中国, 华东, 家具-书架-10004006, 家具, 书架, Sauder 柜, 黑色,3954.7,13,0,744.8
1570, CN-2017-4595101,42967,42971, 标准级, 刘立-16810, 刘立, 消费者, 泉州, 福建, 中国, 华东, 家具-用具-10004691, 家具, 用具, Tenex 框架, 耐用,1532.14,11,0,74.76
1571, CN-2017-4595101,42967,42971, 标准级, 刘立-16810, 刘立, 消费者, 泉州, 福建, 中国, 华东, 办公用-用品-10001508, 办公用品, 用品, Acme 修剪器, 钢,239.24,9,0,45.08
1572, CN-2017-5477816,42761,42763, 一级, 戴珑-17860, 戴珑, 公司, 晋江, 福建, 中国, 华东, 办公用-用品-10001871, 办公用品, 用品, Fiskars 开信刀, 蓝色,816.04,14,0,171.36
1573, CN-2017-5477816,42761,42763, 一级, 戴珑-17860, 戴珑, 公司, 晋江, 福建, 中国, 华东, 办公用-纸张-10002399, 办公用品, 纸张, Green Bar 备忘录便条, 回收,427.4,13,0,0
1574, CN-2018-2871844,43279,43283, 二级, 贺婉-21355, 贺婉, 公司, 武汉, 湖北, 中国, 中南, 办公用-收纳-10003675, 办公用品, 收纳具, Smead 搁板, 蓝色,490.68,10,0,196.28
1575, CN-2018-2871844,43279,43283, 二级, 贺婉-21355, 贺婉, 公司, 武汉, 湖北, 中国, 中南, 技术-复印-10003649, 技术, 复印机, 惠普 复印机, 数字化,2759.296,12,0.37,317.856
1576, CN-2018-2871844,43279,43283, 二级, 贺婉-21355, 贺婉, 公司, 武汉, 湖北, 中国, 中南, 办公用-装订-10000833, 办公用品, 装订机, Acco 装订机, 耐用,173.86,11,0.37,-26.04
1577, CN-2018-2871844,43279,43283, 二级, 贺婉-21355, 贺婉, 公司, 武汉, 湖北, 中国, 中南, 家具-椅子-10004718, 家具, 椅子, Novimex 折叠椅, 红色,494.488,10,0.37,-276.472
1578, CN-2018-2871844,43279,43283, 二级, 贺婉-21355, 贺婉, 公司, 武汉, 湖北, 中国, 中南, 家具-椅子-10000676, 家具, 椅子, SAFCO 椅垫, 可调,382.936,10,0.37,34.776
1579, CN-2018-2871844,43279,43283, 二级, 贺婉-21355, 贺婉, 公司, 武汉, 湖北, 中国, 中南, 办公用-美术-10003822, 办公用品, 美术, BIC 钢笔, 蓝色,73.984,11,0.8,-70.056
1580, CN-2018-2871844,43279,43283, 二级, 贺婉-21355, 贺婉, 公司, 武汉, 湖北, 中国, 中南, 技术-电话-10003816, 技术, 电话, 摩托罗拉 耳机, 全尺寸,487.768,10,0.37,-121.072
1581, CN-2017-5966135,43082,43086, 二级, 白斯-20995, 白斯云, 消费者, 岭东, 黑龙江, 中国, 东北, 技术-设备-10001533, 技术, 设备, 松下 电话, 白色,2753.5,15,0,190.12
1582, CN-2017-5966135,43082,43086, 二级, 白斯-20995, 白斯云, 消费者, 岭东, 黑龙江, 中国, 东北, 办公用-信封-10004068, 办公用品, 信封, Ames 搭扣信封, 回收,230,15,0,27.44
1583, CN-2017-5966135,43082,43086, 二级, 白斯-20995, 白斯云, 消费者, 岭东, 黑龙江, 中国, 东北, 办公用-系固-10000170, 办公用品, 系固件, Stockwell 图钉, 混合尺寸,85.24,9,0,9.66
1584, US-2016-4733722,42703,42708, 标准级, 冯丽-17350, 冯丽丽, 消费者, 库尔勒, 新疆, 中国, 西北, 办公用-装订-10004263, 办公用品, 装订机, Acco 装订机, 实惠,458.2,14,0,79.8
1585, US-2016-4733722,42703,42708, 标准级, 冯丽-17350, 冯丽丽, 消费者, 库尔勒, 新疆, 中国, 西北, 办公用-器具-10000222, 办公用品, 器具, KitchenAid 微波炉, 银色,7292.3,13,0,2249.8
1588, CN-2016-4647823,42654,42656, 二级, 田谙-18850, 田谙, 消费者, 枣庄, 山东, 中国, 华东, 技术-复印-10002458, 技术, 复印机, 夏普 传真复印机, 红色,1590.8,10,0,451.36
1589, CN-2016-3694355,42461,42466, 标准级, 邓立-16900, 邓立, 消费者, 公主岭, 吉林, 中国, 东北, 家具-椅子-10002532, 家具, 椅子, Hon 椅垫, 可调,575.52,10,0,270.76
1590, CN-2016-3694355,42461,42466, 标准级, 邓立-16900, 邓立, 消费者, 公主岭, 吉林, 中国, 东北, 办公用-装订-10004589, 办公用品, 装订机, Avery 孔加固材料, 耐用,89.16,10,0,0.84
1591, CN-2016-3694355,42461,42466, 标准级, 邓立-16900, 邓立, 消费者, 公主岭, 吉林, 中国, 东北, 办公用-系固-10002492, 办公用品, 系固件, Advantus 夹子, 金属,486.9,13,0,144.9
1595, CN-2016-2975416,42380,42385, 标准级, 潘雯-21775, 潘雯, 公司, 七台河, 黑龙江, 中国, 东北, 办公用-用品-10003209, 办公用品, 用品, Acme 大剪刀, 工业,755.56,11,0,100.8
1596, CN-2016-2975416,42380,42385, 标准级, 潘雯-21775, 潘雯, 公司, 七台河, 黑龙江, 中国, 东北, 办公用-收纳-10000871, 办公用品, 收纳具, Eldon 盒, 工业,184.36,11,0,28.56
1597, CN-2018-3898543,43416,43421, 二级, 姚彩-10765, 姚彩, 小型企业, 兖州, 山东, 中国, 华东, 技术-设备-10003952, 技术, 设备, 柯尼卡 卡片打印机, 白色,2464.12,11,0,23.94
1598, CN-2018-3898543,43416,43421, 二级, 姚彩-10765, 姚彩, 小型企业, 兖州, 山东, 中国, 华东, 技术-复印-10000495, 技术, 复印机, Brother 传真复印机, 数字化,2709.82,11,0,240.66
1599, CN-2018-3898543,43416,43421, 二级, 姚彩-10765, 姚彩, 小型企业, 兖州, 山东, 中国, 华东, 办公用-收纳-10002846, 办公用品, 收纳具, Rogers 搁板, 工业,618.36,10,0,11.48
1600, CN-2018-3898543,43416,43421, 二级, 姚彩-10765, 姚彩, 小型企业, 兖州, 山东, 中国, 华东, 办公用-收纳-10000379, 办公用品, 收纳具, Smead 锁柜, 工业,1890.4,10,0,426.72
1601, CN-2018-3898543,43416,43421, 二级, 姚彩-10765, 姚彩, 小型企业, 兖州, 山东, 中国, 华东, 家具-椅子-10003884, 家具, 椅子, Hon 扶手椅, 可调,4323.88,10,0,343
1602, CN-2019-5909028,43705,43709, 标准级, 孙雯-21805, 孙雯, 公司, 厦门, 福建, 中国, 华东, 办公用-用品-10003697, 办公用品, 用品, Acme 尺子, 钢,409.9,13,0,25.9
1603, CN-2019-5909028,43705,43709, 标准级, 孙雯-21805, 孙雯, 公司, 厦门, 福建, 中国, 华东, 技术-设备-10003033, 技术, 设备, StarTech 喷墨打印机, 耐用,4260.46,11,0,1521.24
1607, CN-2017-2977814,42920,42923, 二级, 施强-19390, 施强, 消费者, 塘沽, 天津, 中国, 华北, 办公用-装订-10003846, 办公用品, 装订机, Cardinal 装订机, 耐用,177.08,10,0,35.56
1608, CN-2017-2977814,42920,42923, 二级, 施强-19390, 施强, 消费者, 塘沽, 天津, 中国, 华北, 技术-设备-10003259, 技术, 设备, StarTech 喷墨打印机, 白色,4236.52,11,0,1008.42
1609, CN-2016-3139690,42616,42622, 标准级, 任临-17440, 任临耀, 公司, 哈尔滨, 黑龙江, 中国, 东北, 办公用-装订-10001101, 办公用品, 装订机, Avery 订书机, 耐用,738.76,11,0,253.68
1610, CN-2016-3139690,42616,42622, 标准级, 任临-17440, 任临耀, 公司, 哈尔滨, 黑龙江, 中国, 东北, 办公用-装订-10001158, 办公用品, 装订机, Avery 装订机盖, 实惠,240.64,12,0,12.32
1611, CN-2016-2280831,42536,42540, 标准级, 沈强-19375, 沈强, 消费者, 重庆, 重庆, 中国, 西南, 办公用-信封-10003334, 办公用品, 信封, Cameo 马尼拉纸信封, 红色,1031.64,15,0,89.18
1612, CN-2018-4596452,43424,43428, 标准级, 徐婵-11005, 徐婵, 小型企业, 郑州, 河南, 中国, 中南, 技术-电话-10001717, 技术, 电话, 摩托罗拉 音频基座, 整包,3271.92,12,0,1618.96
1613, CN-2017-3132720,42909,42914, 标准级, 罗君-15235, 罗君, 消费者, 威海, 山东, 中国, 华东, 办公用-美术-10001717, 办公用品, 美术, Boston 钢笔, 混合尺寸,358.8,12,0,100.24
1614, CN-2017-3132720,42909,42914, 标准级, 罗君-15235, 罗君, 消费者, 威海, 山东, 中国, 华东, 办公用-收纳-10003456, 办公用品, 收纳具, Eldon 文件车, 单宽度,1824.88,11,0,716.1
1615, CN-2017-3132720,42909,42914, 标准级, 罗君-15235, 罗君, 消费者, 威海, 山东, 中国, 华东, 办公用-装订-10000287, 办公用品, 装订机, Wilson Jones 孔加固材料, 实惠,118.56,12,0,20.16
1616, CN-2017-3132720,42909,42914, 标准级, 罗君-15235, 罗君, 消费者, 威海, 山东, 中国, 华东, 家具-用具-10000470, 家具, 用具, Advantus 框架, 优质,1058.24,10,0,337.96
1617, CN-2017-3132720,42909,42914, 标准级, 罗君-15235, 罗君, 消费者, 威海, 山东, 中国, 华东, 技术-电话-10004300, 技术, 电话, 苹果 智能手机, 整包,2913.1,13,0,431.2
1618, CN-2016-5703090,42380,42385, 标准级, 潘丽-16240, 潘丽美, 公司, 沂水, 山东, 中国, 华东, 办公用-用品-10000602, 办公用品, 用品, Fiskars 修剪器, 蓝色,2402.8,20,0,1159.2
1619, CN-2017-4373153,42829,42829, 当日, 邱升-20035, 邱升, 小型企业, 南宁, 广西, 中国, 中南, 家具-桌子-10004552, 家具, 桌子, Lesro 培训桌, 白色,3827.86,12,0.25,1264.34
1620, US-2018-1964482,43231,43235, 二级, 施良-17155, 施良, 消费者, 成都, 四川, 中国, 西南, 家具-用具-10003581, 家具, 用具, Deflect-O 门挡, 一包多件,403.684,11,0.37,-86.436
1621, US-2018-1964482,43231,43235, 二级, 施良-17155, 施良, 消费者, 成都, 四川, 中国, 西南, 办公用-标签-10004286, 办公用品, 标签, Avery 有色标签, 耐用,353.2,13,0,70
1622, US-2017-3670764,42904,42910, 标准级, 邵彩-10720, 邵彩, 小型企业, 扬州, 江苏, 中国, 华东, 办公用-系固-10004283, 办公用品, 系固件, OIC 橡皮筋, 每包 12 个,80.2,9,0.37,-2.38
